#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 01:56:26,wvcp,le450_15b,local_search,1,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,24,0,283,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:2:3:2:1:3:2:0:1:4:3:1:3:3:5:4:3:2:3:4:5:4:5:5:0:5:4:2:0:4:3:5:5:5:2:4:5:4:1:2:0:4:4:6:4:2:5:6:3:3:6:6:5:2:0:5:5:5:1:1:0:6:7:6:7:1:7:5:3:7:6:2:1:6:2:7:2:6:7:5:1:0:3:1:8:7:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:1:6:4:10:10:9:8:1:9:1:8:6:7:2:9:10:10:0:11:11:11:7:1:4:4:10:10:12:11:11:11:10:12:10:6:2:10:9:9:5:12:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:0:11:12:8:6:7:11:11:6:4:3:10:12:12:9:3:5:11:9:9:5:9:6:0:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:14:1:13:9:0:9:14:14:11:0:14:13:14:8:0:4:1:6:4:5:15:14:14:7:15:11:6:2:14:15:15:6:3:5:4:2:13:4:13:7:16:14:11:16:15:13:11:16:16:13:11:13:16:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:16:18:7:17:17:0:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:2:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:2:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
4,0,24,0,282,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:2:3:2:1:3:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:5:4:2:0:4:3:5:5:5:2:4:5:4:1:2:2:4:4:6:4:2:5:6:3:3:6:6:5:2:0:5:5:5:1:1:0:6:7:6:7:1:7:5:3:7:6:2:1:6:2:7:0:6:7:5:1:0:3:1:8:7:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:1:6:4:10:10:9:8:1:9:1:8:6:7:2:9:10:10:0:11:11:11:7:1:4:4:10:10:3:11:11:11:10:3:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:0:11:12:8:6:7:11:11:6:4:3:10:12:12:9:3:5:11:9:9:5:9:6:0:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:14:1:13:9:0:9:14:14:11:0:14:13:14:8:0:4:1:6:4:5:15:14:14:7:15:11:6:2:14:15:15:6:3:5:4:2:13:4:13:7:16:14:11:16:15:13:11:16:16:13:11:13:16:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:16:18:7:17:17:0:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:2:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:2:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
7,0,24,0,281,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:2:3:2:1:3:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:5:4:2:0:4:3:5:5:5:2:4:5:4:1:2:2:4:4:6:4:2:5:6:3:3:6:6:5:2:0:5:5:5:1:1:0:6:7:6:7:1:7:5:3:7:6:2:1:6:2:7:0:6:7:5:1:0:3:1:8:7:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:1:6:4:10:10:9:8:1:9:1:8:6:7:2:9:10:10:0:11:11:11:0:1:4:4:10:10:3:11:11:11:10:3:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:0:11:12:8:6:7:11:11:6:4:3:10:12:12:9:3:5:11:9:9:5:9:6:0:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:0:9:4:14:11:0:14:13:14:8:0:4:1:6:4:5:15:14:14:7:15:11:6:2:14:15:15:6:3:5:4:2:13:4:13:7:16:14:11:16:15:13:11:16:16:13:11:13:16:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:16:18:7:17:17:0:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:2:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:2:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
41,0,24,0,280,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:3:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:7:4:2:0:4:3:5:5:5:2:4:5:4:1:2:2:4:4:6:4:2:5:6:3:3:2:6:5:2:0:5:5:5:1:1:0:6:7:6:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:1:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:11:11:11:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:12:8:6:7:11:11:6:4:3:10:12:12:9:3:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:0:14:13:14:8:0:4:4:6:4:5:15:14:14:7:15:11:6:2:14:15:15:6:3:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:2:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:5:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
42,0,24,0,278,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:3:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:1:4:2:0:4:3:5:5:5:2:4:5:4:1:2:2:4:4:6:4:2:5:6:3:3:2:6:5:2:0:5:5:5:1:1:0:6:7:6:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:6:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:11:11:11:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:12:8:6:7:11:11:6:4:3:10:12:12:9:3:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:0:14:13:14:8:0:4:4:6:4:5:15:14:14:7:15:11:6:2:14:15:15:6:3:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:2:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:5:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
66,0,24,0,277,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:0:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:1:4:2:0:4:3:5:5:5:2:4:5:4:1:2:3:4:4:2:4:2:5:0:3:3:2:0:5:2:0:5:5:5:1:2:0:6:7:6:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:6:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:11:11:11:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:5:8:6:7:11:11:6:4:3:10:12:12:9:2:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:12:14:13:14:8:14:4:4:6:4:15:15:14:14:7:15:11:6:2:14:15:15:6:11:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:19:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:5:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
72,0,24,0,276,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:0:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:1:4:2:0:3:3:5:5:5:2:4:5:4:1:2:3:4:4:2:4:2:5:0:3:3:2:0:5:2:0:5:5:5:1:2:0:6:7:5:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:6:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:4:6:6:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:5:8:6:7:11:11:6:4:3:10:12:12:9:2:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:12:14:13:14:8:14:4:4:6:4:15:15:14:14:7:15:11:6:2:14:15:15:6:11:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:21:19:16:19:21:21:18:12:14:2:20:17:4:19:6:3:3:16:8:19:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:5:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
73,0,24,0,275,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:0:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:1:4:2:0:3:3:5:5:5:2:4:5:4:1:2:3:4:4:2:4:2:5:0:3:3:2:0:5:2:0:5:5:5:1:2:0:6:7:5:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:6:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:4:6:6:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:5:8:6:7:11:11:6:4:3:10:12:12:9:2:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:12:14:13:14:8:14:4:4:6:4:15:15:14:14:7:15:11:6:2:14:15:15:6:11:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:11:19:16:19:10:11:18:12:14:2:20:17:4:19:6:3:3:16:8:19:9:7:6:20:22:21:22:21:20:17:22:18:19:14:16:8:18:20:18:17:19:22:5:22:19:1:19:20:22:20:18:22:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
75,0,24,0,274,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:0:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:1:4:2:0:3:3:5:5:5:2:4:5:4:1:2:3:4:4:2:4:2:5:0:3:3:2:0:5:2:0:5:5:5:1:2:0:6:7:5:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:6:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:4:6:6:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:5:8:6:7:11:11:6:4:3:10:12:12:9:2:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:12:14:13:14:8:14:4:4:6:4:15:15:14:14:7:15:11:6:2:14:15:15:6:11:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:11:19:16:19:10:11:18:12:14:2:20:17:4:19:6:3:3:16:8:19:9:7:6:20:22:22:22:22:20:17:22:18:19:14:16:8:18:20:18:17:19:22:5:22:19:1:19:20:21:20:18:6:15:22:21:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
78,0,24,0,273,0:0:0:1:0:1:0:1:1:1:1:2:3:1:2:3:2:3:0:0:2:1:0:2:0:1:4:3:1:0:3:5:4:3:2:3:4:5:4:5:5:0:1:4:2:0:3:3:5:5:5:2:4:5:4:1:2:3:4:4:2:4:2:5:0:3:3:2:0:5:2:0:5:5:5:1:2:0:6:7:5:7:1:7:5:3:7:3:2:1:6:2:7:0:6:7:5:1:0:3:1:8:5:8:4:8:9:9:7:8:3:9:8:2:6:7:9:6:8:2:6:6:4:10:10:9:8:1:9:1:8:10:7:2:9:10:10:0:4:6:6:0:1:4:4:10:10:3:11:11:11:10:0:10:6:2:10:9:9:5:3:10:8:8:10:11:12:9:4:8:11:10:8:10:12:10:6:9:7:2:12:11:5:8:6:7:11:11:6:4:3:10:12:12:9:2:5:11:9:9:5:9:6:2:10:10:13:13:13:13:12:12:5:2:13:8:12:12:13:6:2:8:5:7:7:1:13:9:7:9:4:14:11:12:14:13:14:8:14:4:4:6:4:15:15:14:14:7:15:11:6:2:14:15:15:6:11:5:4:2:13:4:13:7:6:14:11:6:15:13:11:6:12:13:11:13:6:15:14:10:10:10:17:15:13:15:17:17:13:15:4:14:14:17:17:8:9:0:11:1:7:15:17:8:18:15:15:17:17:7:18:6:1:18:9:11:18:7:17:17:18:9:14:1:12:18:19:19:16:19:16:18:9:16:12:16:8:16:17:14:14:17:19:20:19:3:20:11:19:16:19:10:11:18:12:14:2:20:17:4:19:6:3:3:16:8:19:9:7:6:20:22:22:22:22:20:17:22:18:19:14:17:8:18:20:18:17:19:22:5:22:19:1:19:20:16:20:18:6:15:22:8:19:9:16:8:16:20:5:20:21:20:23:23:23:18:23:23:23:14:10:21:23:7:16:16:3:5:10:17
