#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 01:59:58,wvcp,le450_15b,local_search,16,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,24,0,283,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:2:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:5:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:11:7:5:11:9:2:8:2:9:4:11:10:11:5:4:11:10:12:6:5:12:9:12:12:11:12:5:3:12:11:12:9:1:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:9:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:10:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:17:17:16:17:16:8:15:15:16:14:11:1:13:7:8:8:15:10:14:18:18:12:17:18:9:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:20:19:18:4:20:17:17:20:6:11:6:19:15:18:16:20:19:16:20:21:7:18:19:21:10:21:19:11:11:21:20:18:18:7:4:13:1:12:11:10:15:16:0:22:20:22:21:5:22:15:23:23:11:18:13:22:21:15:3:15:20:6:10:21:20:23:4:21:23:17:20:19:20:21:22:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
7,0,24,0,282,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:2:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:5:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:11:7:5:11:9:2:8:2:9:4:11:10:11:5:4:11:10:12:6:5:12:9:12:12:11:12:5:3:12:11:12:9:1:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:9:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:10:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:17:17:16:17:16:8:15:15:16:14:11:1:13:7:8:8:15:10:14:18:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:20:19:18:4:20:17:17:20:6:11:6:19:15:18:16:20:19:16:20:21:7:18:19:21:10:21:19:11:11:21:20:18:18:7:4:13:1:12:11:10:15:16:0:22:20:22:21:5:22:15:9:21:11:18:13:22:21:15:3:15:20:6:10:21:20:23:4:21:23:17:20:19:20:21:22:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
9,0,24,0,281,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:2:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:5:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:11:7:5:11:9:2:8:2:9:4:11:10:11:5:4:11:10:12:6:5:12:9:12:12:11:12:5:3:12:11:12:9:1:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:9:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:10:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:17:17:16:17:16:8:15:15:16:14:11:1:13:7:8:8:15:10:14:18:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:20:19:18:4:20:17:17:20:6:11:6:19:15:18:16:20:19:16:20:21:7:18:19:21:10:21:19:11:11:21:20:18:18:7:4:13:1:12:11:10:15:16:0:22:20:22:21:5:22:15:9:21:11:18:13:22:21:15:3:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:22:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
21,0,24,0,280,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:2:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:5:7:5:9:9:2:8:2:9:4:5:10:5:5:4:11:10:12:6:9:12:9:12:12:11:12:5:3:12:11:12:9:8:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:10:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:17:17:16:17:16:8:15:15:16:14:11:15:13:7:8:8:15:10:14:18:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:20:19:18:4:20:17:17:20:6:11:6:19:15:18:16:20:19:16:20:21:7:18:19:21:10:21:19:11:11:21:20:18:18:7:4:13:1:12:12:10:15:16:0:22:20:22:21:5:22:15:9:21:11:18:13:22:21:15:3:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:22:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
24,0,24,0,279,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:2:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:5:7:5:9:9:2:8:2:8:4:5:10:5:5:4:11:10:12:6:9:12:9:12:12:11:12:5:3:12:11:12:9:8:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:10:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:17:17:16:17:16:8:15:15:16:14:11:15:13:7:8:8:15:10:14:18:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:9:19:18:4:8:17:17:16:6:11:6:19:15:18:16:20:19:16:20:21:7:18:19:21:10:21:19:11:11:21:20:18:18:7:4:13:1:12:12:10:15:16:0:22:20:22:21:5:22:15:9:21:11:18:13:22:21:15:3:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:22:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
28,0,24,0,278,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:2:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:5:7:5:9:9:2:8:2:8:4:5:10:5:5:4:11:10:12:6:9:12:9:12:12:11:12:5:3:12:11:12:9:8:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:6:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:10:17:16:17:16:8:15:15:16:14:11:15:13:7:8:8:15:10:14:17:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:9:19:14:4:8:17:17:16:6:11:6:19:15:18:16:18:19:16:18:21:7:18:19:21:10:21:19:11:11:21:18:18:18:7:4:13:1:12:12:10:15:16:0:22:20:22:21:5:22:15:9:21:11:18:13:22:21:15:3:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:22:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
29,0,24,0,276,0:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:3:0:3:2:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:2:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:5:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:5:7:5:9:9:2:8:2:8:4:5:10:5:5:4:11:10:12:6:9:12:9:12:12:11:12:5:3:12:11:12:9:8:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:3:7:10:14:12:12:13:14:14:6:8:0:2:13:14:10:6:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:10:17:16:17:16:8:15:15:16:14:11:15:13:7:8:8:15:10:14:17:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:9:19:14:4:8:17:17:16:6:11:6:19:15:18:16:18:19:16:18:21:7:18:19:21:10:21:19:11:11:21:18:18:18:7:4:13:1:12:12:10:15:16:0:20:20:20:21:5:20:15:9:21:11:18:13:20:21:15:3:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:20:2:16:12:21:3:20:22:21:23:23:15:17:0:19:23:0:20:7:16:11:19:19:9:18:23:4:21
41,0,23,0,275,3:0:0:1:1:1:0:1:1:1:1:2:3:2:0:3:2:0:0:3:2:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:0:2:4:1:3:2:2:2:0:1:1:1:4:4:5:4:2:2:5:5:5:3:4:2:4:2:3:0:6:4:6:3:6:2:5:5:6:5:5:1:0:7:5:7:5:6:8:0:7:8:6:2:7:6:1:0:2:1:8:8:4:2:0:3:8:0:0:6:6:4:7:7:8:4:8:3:2:7:7:7:6:6:6:1:7:8:9:4:3:8:8:9:10:8:7:9:9:6:10:7:10:6:10:7:6:1:9:8:0:9:10:10:8:5:7:5:9:9:2:8:2:8:4:5:10:5:5:4:11:10:12:6:9:12:9:12:12:11:12:5:3:12:11:12:9:8:2:11:9:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:1:10:4:4:14:5:9:3:11:14:12:3:14:9:10:10:2:13:0:13:10:4:11:7:10:14:12:12:13:14:14:6:8:1:2:13:14:10:6:13:3:6:0:15:3:15:11:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:10:17:16:17:16:8:15:15:16:14:11:15:13:7:8:8:15:10:14:17:18:12:17:18:16:18:13:18:18:9:5:18:13:1:15:8:8:17:19:19:9:19:14:4:8:17:17:16:6:11:6:19:15:18:16:18:19:16:18:21:7:18:19:21:10:21:19:11:11:21:18:18:18:7:4:13:1:12:12:10:15:16:0:20:5:20:21:5:20:15:9:21:11:18:13:20:21:15:3:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:20:2:16:12:21:3:20:20:21:23:23:15:17:20:19:23:0:20:7:16:11:19:19:9:18:23:4:21
122,0,23,0,274,3:0:0:0:1:1:0:3:2:1:2:0:3:2:1:0:1:0:3:3:1:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:1:1:4:0:3:1:2:2:0:1:1:1:4:4:5:4:2:2:2:5:5:3:4:1:2:2:3:0:0:4:5:3:5:2:3:5:3:5:5:1:0:7:6:7:5:6:8:0:7:8:1:2:7:6:1:2:6:1:8:8:4:2:0:3:8:2:5:6:6:4:7:7:8:4:8:0:5:7:7:7:6:6:6:5:7:8:9:4:3:8:8:9:10:8:7:9:9:5:10:7:10:6:10:7:6:1:9:8:1:9:10:10:8:6:7:6:9:9:9:8:1:8:4:5:10:5:5:4:11:10:12:5:9:12:9:12:12:11:12:5:3:12:11:12:9:8:2:11:11:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:2:10:4:4:14:5:9:6:11:14:12:3:14:9:10:10:3:13:0:6:10:4:11:7:10:14:12:12:13:14:14:5:8:1:2:13:14:10:6:13:3:9:0:15:3:15:14:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:10:17:16:17:16:8:15:15:16:14:11:15:13:7:8:8:15:10:14:17:18:12:17:18:16:18:13:18:18:9:11:18:13:5:15:8:8:17:19:19:9:19:14:4:8:17:17:16:6:11:6:19:15:18:16:18:19:16:18:21:7:18:19:21:10:21:19:11:11:21:18:18:18:7:4:13:14:12:12:10:15:16:0:20:5:20:21:13:20:15:9:21:11:18:13:20:21:15:17:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:20:2:16:12:21:3:20:20:21:23:23:15:17:20:19:23:0:20:7:16:11:19:19:9:18:23:4:21
136,0,23,0,273,3:0:0:0:1:1:0:3:2:1:2:0:3:2:1:0:1:0:3:3:1:0:0:2:3:2:4:4:1:3:1:3:4:2:1:0:1:1:1:4:0:3:1:2:2:0:1:1:1:4:4:5:4:2:2:2:2:5:3:4:1:2:2:3:0:0:4:5:3:5:2:3:5:3:5:5:1:0:7:6:7:5:6:8:0:7:8:1:2:7:7:1:2:6:1:8:8:4:2:0:3:8:2:5:6:6:4:7:7:8:4:8:0:5:7:7:7:6:6:6:5:7:8:9:4:3:8:8:9:10:8:7:9:9:5:10:7:10:6:10:7:6:1:9:8:1:9:10:10:8:6:7:6:9:9:9:8:1:8:4:5:10:5:5:4:5:10:13:5:9:12:9:12:12:6:12:5:3:12:3:12:9:8:5:4:3:6:2:7:6:3:10:12:13:10:12:13:8:13:4:7:10:13:10:9:9:14:14:11:14:13:14:14:14:13:7:13:11:11:6:8:2:10:4:4:14:6:9:6:11:14:12:3:14:9:10:10:3:13:0:6:10:4:11:7:10:14:12:12:6:14:14:5:8:1:2:13:14:10:6:13:3:9:0:15:12:15:14:15:3:15:16:13:16:16:14:11:12:16:16:2:13:16:16:17:15:8:1:10:17:16:17:16:8:15:15:16:14:11:15:13:16:8:8:15:10:14:17:18:12:17:18:16:18:13:18:18:9:11:18:13:5:15:8:8:17:19:19:9:19:14:4:8:17:17:16:6:11:6:19:15:18:16:18:19:16:18:21:7:18:19:21:10:21:19:11:11:21:18:18:18:7:4:13:14:12:12:10:15:16:0:20:5:20:21:13:20:15:9:21:11:18:13:20:21:15:17:15:20:6:10:21:20:19:4:21:0:17:20:1:20:21:20:2:16:12:21:3:20:20:21:23:23:15:17:20:19:23:0:20:7:16:11:19:19:9:18:23:4:21
