#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 01:55:56,wvcp,le450_15a,local_search,14,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,24,0,290,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:1:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:6:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:8:3:10:7:1:5:10:4:6:0:2:11:11:8:10:12:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:12:12:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:10:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:16:16:12:15:15:6:11:10:16:16:10:15:7:4:1:10:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:21:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:21:8:21:21:21:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:21:22:22:22:14:11:22:23:16:22:17:4:16:21:20:23:21:21:16:20:15:23:14:23:12:23:19:22:23:12:2:15:23:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
2,0,24,0,289,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:1:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:6:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:1:5:10:4:6:0:2:11:11:8:10:12:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:12:12:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:10:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:16:16:12:15:15:6:11:10:16:16:10:15:7:4:1:10:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:21:8:21:21:21:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:21:22:22:22:14:11:22:23:16:22:17:4:16:21:20:23:21:21:16:20:15:23:14:23:12:23:19:22:23:12:2:15:23:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
4,0,24,0,288,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:6:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:1:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:10:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:16:16:12:15:15:6:11:10:16:16:10:15:7:4:1:10:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:21:8:21:21:21:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:21:22:22:22:14:11:22:23:16:22:17:4:16:21:20:23:21:21:16:20:15:23:14:23:12:23:19:22:23:12:2:15:23:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
7,0,24,0,287,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:1:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:10:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:16:16:12:15:15:6:11:10:16:16:10:15:7:4:1:10:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:21:8:21:6:21:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:21:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:23:12:23:19:22:23:12:2:15:23:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
9,0,24,0,286,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:1:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:9:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:10:10:12:15:15:6:11:10:10:10:10:15:7:4:1:8:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:21:8:21:6:21:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:21:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:23:12:23:19:22:23:12:2:15:23:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
10,0,24,0,285,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:1:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:9:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:10:10:12:15:15:6:11:10:10:10:10:15:7:4:1:8:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:4:8:16:6:16:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:16:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:23:12:23:19:22:23:12:2:15:23:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
11,0,24,0,284,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:6:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:1:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:9:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:10:10:12:15:15:6:11:10:10:10:10:15:7:4:1:8:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:4:8:16:6:16:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:16:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:21:12:21:19:22:21:12:2:15:21:21:5:22:4:9:8:11:2:3:11:15:23:20:12:13:23:19:7:8:21:19:1:23
21,0,23,0,283,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:1:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:6:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:9:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:10:10:12:15:15:6:11:10:10:10:10:15:7:4:1:8:14:15:10:5:17:13:14:16:16:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:16:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:16:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:4:8:16:6:16:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:16:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:21:12:21:19:22:21:12:2:15:21:6:5:22:4:9:8:11:2:3:11:15:21:20:12:13:21:19:7:8:21:19:1:21
22,0,23,0,281,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:1:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:6:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:9:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:10:10:12:15:15:6:11:10:10:10:10:15:7:4:1:8:14:15:10:5:17:13:14:14:15:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:14:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:19:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:16:14:11:19:19:8:7:19:6:19:10:10:16:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:17:17:5:13:7:20:15:18:4:8:16:6:16:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:16:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:21:12:21:19:22:21:12:2:15:21:6:5:22:4:9:8:11:2:3:11:15:21:20:12:13:21:19:7:8:21:19:1:21
23,0,23,0,279,0:0:0:1:0:0:1:2:2:0:1:0:2:0:1:1:2:1:0:2:3:3:0:1:4:4:1:0:3:2:2:3:4:1:3:4:4:0:4:3:4:0:1:4:5:5:6:5:4:6:1:3:6:1:3:5:0:5:2:0:6:5:2:3:6:0:3:6:5:6:2:0:4:4:5:7:6:7:2:3:6:6:5:7:3:3:1:7:4:7:8:8:5:8:6:1:8:3:7:4:3:2:2:4:6:4:5:3:8:5:2:9:5:9:6:9:9:7:8:9:9:1:2:8:2:8:10:9:8:9:3:10:7:9:5:10:4:6:0:2:11:11:8:10:1:8:11:11:11:2:4:10:8:3:5:11:8:7:10:1:2:0:6:6:1:7:4:3:12:11:13:7:8:13:5:12:12:1:9:2:13:13:13:13:11:0:4:9:10:13:12:10:13:11:2:10:11:8:13:13:3:9:12:12:14:9:14:6:9:7:1:0:5:10:14:3:7:13:13:5:11:0:14:4:14:15:15:10:10:12:15:15:6:11:10:10:10:10:15:7:4:1:8:14:15:10:5:17:13:14:14:15:8:17:17:17:13:17:15:13:9:13:3:7:2:11:4:14:14:12:18:18:10:14:13:18:15:17:17:18:19:19:13:19:15:17:15:7:15:19:4:5:17:19:1:17:11:5:14:19:18:19:18:6:11:17:14:11:19:19:8:7:19:6:19:10:10:17:12:15:18:20:20:15:20:20:8:13:18:19:19:1:19:20:0:11:6:17:5:13:7:20:15:18:4:8:16:6:16:19:16:13:16:12:13:18:16:14:20:12:18:20:14:5:16:22:22:22:14:11:22:21:16:22:17:4:16:21:20:7:21:21:16:20:15:7:14:21:12:21:19:22:21:12:2:15:21:6:5:22:4:9:8:11:2:3:11:15:21:20:12:13:21:19:7:8:21:19:1:21
