#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 19:30:51,wvcp,r19,local_search,17,6826,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,15,0,7669,0:0:1:1:0:2:0:2:2:1:3:0:2:3:2:2:1:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:3:0:5:2:4:2:4:1:2:3:5:4:1:2:5:3:2:3:0:1:4:6:4:6:6:5:3:1:5:7:7:7:5:4:4:0:5:6:6:7:7:4:8:6:6:8:8:8:7:0:5:6:8:8:8:0:9:10:9:7:10:6:7:7:9:10:10:10:9:8:10:7:5:6:11:11:3:9:10:10:1:11:10:6:4:8:9:11:8:9:11:5:0:5:1:11:11:12:7:11:12:12:10:3:12:9:5:9:9:8:4:12:0:12:8:7:3:8:12:11:13:12:12:13:13:12:12:13:6:10:5:4:13:1:14:14:11:12:12:2:14:13:2:3:10:9:14:14:11:14:2:9:14
4,0,15,0,7656,0:0:1:1:0:2:0:2:2:1:3:0:2:3:2:2:1:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:3:0:5:2:4:2:4:1:2:3:5:4:0:2:5:3:2:3:0:1:4:6:4:6:6:5:3:1:5:7:7:7:5:4:4:0:5:6:6:7:7:4:8:6:6:8:8:8:7:1:5:6:8:8:8:1:9:10:9:7:10:6:7:7:9:10:10:10:9:8:10:7:5:6:11:11:3:9:10:10:1:11:10:6:4:8:9:11:8:9:11:5:0:5:1:11:11:0:7:11:12:12:10:3:12:9:5:9:9:8:4:12:0:12:8:7:3:8:12:11:13:12:12:13:13:12:12:13:6:10:5:4:13:1:14:14:11:12:12:2:14:13:2:3:10:9:14:14:11:14:2:9:14
22,0,15,0,7647,0:1:0:1:1:3:0:2:3:1:2:0:2:2:2:2:0:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:2:0:5:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:6:6:5:3:1:5:1:4:7:5:4:4:4:5:6:6:7:7:4:8:6:6:8:8:8:7:1:5:6:8:8:8:1:9:10:9:7:10:6:7:7:9:10:10:10:9:8:10:7:5:6:11:11:3:9:10:10:1:11:10:6:4:8:9:11:8:9:11:5:0:5:1:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:12:0:12:8:7:3:8:12:11:13:12:12:13:13:12:12:13:6:10:5:4:13:1:14:14:11:12:12:2:14:13:2:3:10:9:14:14:11:14:2:9:14
33,0,15,0,7638,0:1:0:1:1:3:0:2:3:1:2:0:2:2:2:2:0:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:2:4:5:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:3:1:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:5:10:8:8:8:1:9:5:9:7:10:6:7:7:9:10:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:5:0:5:1:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:12:0:12:8:7:3:8:12:11:13:12:12:13:13:12:12:13:6:10:5:4:13:1:14:14:11:12:12:2:14:13:2:3:10:9:14:14:11:14:2:9:14
34,0,15,0,7609,0:1:0:1:1:3:0:2:3:1:2:0:2:2:2:2:0:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:2:4:5:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:6:1:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:5:3:8:8:8:1:9:5:9:7:10:6:7:7:9:10:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:5:0:5:1:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:12:0:12:8:7:3:8:12:11:13:12:12:13:13:12:12:13:6:10:5:4:13:1:14:14:11:12:12:2:14:13:2:3:10:9:14:14:11:14:2:9:14
35,0,15,0,7593,0:1:0:1:1:3:0:2:3:1:2:0:2:2:2:2:0:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:2:4:5:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:6:1:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:5:3:8:8:8:1:9:5:9:7:11:6:7:7:9:2:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:5:0:5:1:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:10:0:8:8:7:3:8:7:11:12:12:12:13:13:12:12:13:6:10:5:4:13:1:13:9:11:12:12:2:12:13:2:3:10:9:14:14:11:14:2:9:14
36,0,15,0,7540,0:1:0:1:1:3:0:2:3:1:2:0:2:2:2:2:0:3:3:0:3:1:0:3:1:1:1:2:4:3:4:4:2:4:5:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:6:1:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:5:3:8:8:8:1:9:5:9:7:5:6:7:7:9:2:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:11:0:5:1:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:10:0:8:8:7:3:8:7:11:12:12:12:13:13:12:12:13:6:10:5:4:13:1:13:9:11:12:12:2:12:13:2:3:10:9:14:14:11:14:2:9:14
38,0,15,0,7529,0:1:0:1:1:3:0:1:3:1:2:0:2:2:2:2:0:3:3:0:3:2:0:3:1:1:1:2:4:3:4:4:2:4:5:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:6:1:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:5:3:8:8:8:1:9:5:9:7:5:6:7:7:9:5:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:11:0:5:1:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:10:0:8:8:7:3:8:7:11:12:12:12:13:13:12:12:13:6:10:5:4:13:1:13:9:11:12:12:2:12:13:2:3:10:9:14:14:11:14:2:9:14
56,0,15,0,7514,0:1:0:1:1:3:1:1:3:1:2:1:2:2:2:2:0:3:3:0:3:2:0:3:1:0:1:2:4:3:4:4:2:4:0:2:4:2:4:0:3:2:5:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:6:0:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:7:3:8:8:8:1:9:5:9:7:5:6:7:7:9:5:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:11:5:5:5:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:10:0:8:8:7:3:8:7:11:12:12:12:13:13:12:12:13:6:10:5:4:13:1:13:9:11:12:12:2:12:13:2:3:10:9:14:14:11:14:2:9:14
62,0,15,0,7503,0:1:0:1:1:3:1:1:3:1:2:3:2:2:2:2:0:3:3:0:3:2:0:3:1:1:1:2:4:1:4:4:2:4:0:2:4:2:4:0:3:2:0:4:0:2:5:3:2:3:0:1:4:6:4:1:6:5:6:0:5:1:4:6:5:4:4:4:6:6:6:7:7:5:8:6:6:8:8:8:7:7:7:3:8:8:8:1:9:5:9:7:5:6:7:7:9:5:10:10:9:8:10:7:5:6:11:11:3:9:10:10:0:11:10:6:4:8:9:11:8:9:11:11:5:5:5:11:11:0:7:11:7:1:10:3:0:9:5:9:9:8:4:10:0:8:8:7:3:8:7:11:12:12:12:13:13:12:12:13:6:10:5:4:13:1:13:9:11:12:12:2:12:13:2:8:10:9:14:14:11:14:2:9:14
