#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 11:55:38,wvcp,DSJC125.1gb,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,9,0,123,0:0:0:0:0:1:1:1:0:2:2:1:2:2:0:0:0:1:2:2:1:3:4:4:1:3:1:4:4:0:1:0:1:1:2:4:2:3:2:4:4:3:0:3:3:3:5:5:3:5:2:5:3:5:5:4:5:1:0:5:1:2:3:5:4:5:6:6:1:6:2:3:0:5:6:6:4:6:6:0:4:4:6:4:4:1:5:5:7:7:2:7:7:4:1:3:7:7:6:6:6:3:3:0:7:6:0:0:2:3:5:1:6:5:4:2:5:7:8:4:4:7:8:4:8
173,0,8,0,122,0:0:0:0:0:1:1:1:0:2:2:1:2:2:0:0:0:1:2:2:1:3:4:4:3:3:4:4:4:4:0:3:1:1:2:1:2:3:0:4:4:3:0:3:3:5:5:5:4:5:4:5:4:5:3:4:5:1:0:4:1:5:3:5:4:5:6:6:1:2:2:5:5:4:0:2:4:4:5:2:6:6:3:3:4:1:5:4:7:7:2:2:5:7:0:4:7:7:6:5:0:3:6:5:7:7:6:5:2:7:7:1:6:5:1:2:6:6:7:7:6:4:7:5:1
385,0,8,0,121,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:2:1:3:4:4:3:3:2:4:4:4:0:3:3:3:2:1:2:3:4:4:4:0:0:3:3:3:3:5:4:1:4:4:5:1:4:4:5:1:2:5:3:5:1:1:4:5:6:6:1:2:1:6:5:0:5:2:1:3:5:2:3:6:1:2:5:1:4:5:5:5:4:2:5:5:0:4:7:7:6:5:0:0:2:5:0:3:6:0:4:4:7:3:7:6:2:7:6:6:6:7:6:2:0:5:1
430,0,8,0,119,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:2:1:3:4:4:3:3:2:1:4:4:0:3:3:3:2:3:2:3:4:4:4:0:0:3:3:3:3:4:4:1:4:4:0:0:4:4:5:1:2:5:3:5:1:4:3:5:6:6:1:2:1:5:1:0:5:2:2:6:5:0:3:5:5:6:5:1:4:6:5:5:4:2:5:4:3:4:7:7:6:5:2:0:2:0:0:3:3:7:4:7:7:3:7:5:2:2:6:7:7:7:6:4:0:2:6
486,0,8,0,118,0:0:0:0:0:1:1:1:0:2:2:1:2:2:0:0:1:1:2:2:1:3:4:4:3:3:4:1:4:4:0:3:3:1:2:1:2:3:4:4:4:1:1:3:3:3:3:4:1:4:4:4:0:0:4:4:1:1:2:0:3:5:1:5:4:0:6:6:6:2:2:5:5:0:5:3:2:6:6:4:3:5:1:6:5:3:6:5:5:5:4:2:5:0:3:4:7:7:7:6:2:0:7:0:0:7:3:5:4:7:7:3:7:2:2:6:6:6:4:5:6:1:7:2:6
660,0,8,0,117,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:1:1:2:2:1:3:4:4:3:3:2:1:3:4:0:3:4:3:2:3:2:3:2:4:4:1:1:3:3:3:3:4:1:4:2:4:0:1:4:4:1:1:3:0:3:4:4:4:3:2:5:6:6:0:2:3:1:6:5:2:2:3:2:0:5:5:5:5:6:1:6:4:5:5:4:2:5:0:1:4:7:7:5:1:2:0:7:0:7:7:5:6:0:4:7:6:7:6:2:2:6:7:5:4:6:7:6:2:0
767,0,8,0,116,0:0:0:0:0:1:1:1:0:2:2:1:2:2:0:0:1:1:2:2:1:3:4:4:3:3:0:1:3:4:4:3:4:3:2:3:2:3:4:4:4:4:0:3:3:3:3:4:1:4:2:4:0:0:4:4:1:1:2:0:3:2:1:4:3:2:6:6:2:0:6:0:6:6:6:2:1:6:0:5:5:5:1:5:6:1:5:1:5:5:4:2:5:5:1:5:7:7:4:1:0:0:6:3:7:3:6:7:0:6:7:7:6:6:0:2:0:7:5:7:6:1:7:2:0
768,0,8,0,115,0:0:0:0:0:1:1:1:0:2:2:1:2:2:0:0:1:1:2:2:1:3:4:4:3:3:0:1:3:4:4:3:4:3:2:3:2:3:4:4:4:4:0:3:3:3:3:4:1:4:2:4:0:0:4:4:1:1:2:0:3:2:1:4:3:2:6:6:2:0:6:0:6:6:6:2:1:6:0:0:5:5:1:5:6:1:5:1:5:5:4:2:5:5:1:5:7:7:4:1:0:0:6:3:7:3:6:7:0:6:7:7:6:6:0:2:0:7:5:7:6:1:7:2:0
881,0,8,0,114,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:1:1:2:2:1:3:4:4:3:3:0:1:4:4:0:3:4:1:2:1:2:3:4:0:4:1:1:3:3:3:3:4:4:0:2:4:0:0:4:4:1:1:2:0:3:2:1:2:3:3:6:6:2:0:6:3:2:6:6:2:1:4:6:4:3:6:1:6:6:3:4:1:5:5:4:1:6:0:1:5:7:7:2:1:0:0:5:6:7:5:5:7:4:6:7:7:2:6:0:2:5:7:5:5:6:4:7:2:0
945,0,8,0,111,0:0:0:0:0:1:1:1:0:2:2:1:2:2:0:0:1:1:2:2:1:3:4:4:3:3:0:1:4:4:0:4:4:4:2:1:2:2:4:0:4:1:1:3:3:3:4:4:4:0:4:4:0:1:4:2:1:1:3:4:3:2:1:2:4:3:6:6:2:0:6:3:6:6:6:2:1:4:2:4:3:6:2:6:4:1:2:1:5:5:4:1:5:6:1:4:5:4:5:1:0:0:5:3:7:7:5:3:4:7:7:4:2:2:0:2:5:5:5:5:6:4:7:2:1
