#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:29:56,wvcp,le450_25a,local_search,13,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,31,0,356,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:3:6:4:5:1:3:3:6:2:5:6:2:3:4:3:5:2:6:2:6:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:4:1:5:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:6:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:6:9:13:13:7:13:12:4:11:10:1:8:4:0:2:12:6:7:12:10:3:9:9:8:10:13:13:11:4:12:12:7:12:0:2:13:0:4:3:1:9:14:13:15:2:4:5:14:15:12:11:15:2:12:12:4:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:17:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:4:4:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:22:23:21:22:21:8:10:23:23:20:24:25:17:25:8:22:22:23:17:25:12:21:3:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:22:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:29:23:29:30:30:30:28:30:28:27:0:1:28
1,0,30,0,355,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:3:6:4:5:1:3:3:6:2:5:6:2:3:4:3:5:2:6:2:4:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:4:1:5:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:6:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:6:9:13:13:7:13:12:4:11:10:1:8:4:0:2:12:6:7:12:10:3:9:9:8:10:13:13:11:4:12:12:7:12:0:2:13:0:4:3:1:9:14:13:15:2:4:5:14:15:12:11:15:2:12:12:4:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:17:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:4:4:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:22:23:21:22:21:8:10:23:23:20:24:25:17:25:8:22:22:23:17:25:12:21:3:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:22:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:29:23:29:6:29:23:28:27:28:27:0:1:28
2,0,30,0,354,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:6:9:13:13:7:13:12:3:11:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:11:11:12:12:7:12:0:2:13:0:4:6:1:9:14:13:15:2:4:5:14:15:12:11:15:2:12:12:8:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:17:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:22:23:21:22:21:8:10:23:23:20:24:25:17:25:8:22:22:23:17:25:12:21:3:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:22:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:29:23:29:6:29:23:28:27:28:27:0:1:28
4,0,30,0,353,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:11:9:13:13:7:13:12:3:13:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:11:11:12:12:7:12:0:2:13:0:4:6:1:9:14:13:15:2:4:5:14:15:12:11:15:2:12:12:8:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:12:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:6:23:21:21:21:8:10:23:23:20:24:25:17:25:8:22:22:23:17:25:12:21:3:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:22:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:29:23:29:22:29:23:28:27:28:27:0:1:28
5,0,30,0,352,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:11:9:13:13:7:13:12:3:13:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:6:3:12:12:7:12:0:2:13:0:4:6:1:9:14:13:11:2:4:5:14:3:12:11:14:2:12:12:8:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:12:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:6:23:21:21:21:8:10:23:23:20:24:25:17:25:8:22:22:23:17:25:12:21:24:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:22:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:29:23:29:22:29:23:28:27:28:27:0:1:28
7,0,29,0,351,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:11:9:13:13:7:13:12:3:13:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:6:3:12:12:7:12:0:2:13:0:4:6:1:9:14:5:11:2:4:5:14:3:12:11:14:2:12:12:8:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:12:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:6:23:21:21:21:8:10:23:23:20:24:25:17:25:8:22:4:23:17:25:12:21:24:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:23:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:22:23:13:15:25:23:28:27:28:27:0:1:28
8,0,29,0,350,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:11:9:13:13:7:13:12:3:13:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:6:3:12:12:7:12:0:2:13:0:4:6:1:9:14:5:11:2:4:5:14:3:12:11:14:2:12:12:8:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:12:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:6:23:21:21:21:8:10:15:23:20:23:25:17:25:8:22:4:23:17:25:12:21:24:16:18:18:19:19:24:20:13:21:24:10:15:0:23:15:10:18:25:24:23:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:24:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:22:28:13:15:25:23:28:27:28:27:0:1:28
10,0,29,0,349,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:4:1:11:9:13:13:7:13:12:3:13:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:6:3:12:12:7:12:0:2:13:0:4:6:1:9:10:5:11:2:4:5:14:3:12:11:14:2:12:12:8:7:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:12:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:14:20:20:18:19:13:7:10:15:21:6:14:21:21:21:8:10:15:15:20:23:25:17:25:8:22:4:23:17:25:12:21:24:16:18:18:19:19:24:20:13:21:24:10:15:0:23:15:10:18:25:24:23:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:24:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:22:28:13:15:25:23:28:27:28:27:0:1:28
19,0,29,0,348,0:0:1:2:4:4:1:1:2:1:5:0:4:5:5:5:4:6:4:5:1:6:4:6:5:5:6:6:4:0:3:3:2:6:2:3:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:2:1:3:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:4:1:11:9:13:13:7:13:12:3:13:10:1:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:6:3:12:12:7:12:0:2:13:0:4:6:1:9:10:5:11:2:4:5:14:3:12:11:14:2:9:12:8:7:12:11:2:6:15:12:15:16:16:11:0:12:2:9:12:9:14:3:0:10:0:17:17:14:16:13:14:15:16:17:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:2:1:18:20:19:18:19:0:20:14:20:20:18:19:13:7:10:15:21:6:14:21:21:21:8:10:15:15:20:23:25:17:25:8:22:4:23:17:25:12:21:24:16:18:18:19:19:24:20:13:21:24:10:15:0:23:15:10:18:25:24:23:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:22:19:8:24:16:20:26:26:25:22:16:9:9:16:26:27:26:22:26:13:25:27:21:27:27:23:12:28:22:28:13:15:25:23:28:27:28:27:0:1:28
20,0,29,0,347,0:0:1:4:2:6:1:1:2:1:5:0:2:5:5:5:0:6:1:5:1:6:2:6:5:5:6:6:0:0:3:3:4:2:4:3:0:3:3:3:1:4:1:6:1:7:7:6:4:6:2:7:4:1:3:2:0:6:7:4:7:5:4:5:3:4:2:5:2:3:7:4:7:8:8:3:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:5:10:8:11:7:8:0:11:10:9:9:11:13:5:4:1:11:9:13:13:7:13:12:3:13:10:6:8:11:0:2:12:6:7:12:10:3:9:9:8:10:13:13:6:3:12:12:7:0:0:11:13:0:4:6:1:9:10:5:11:3:0:5:14:4:13:11:14:2:9:6:8:7:12:11:2:6:15:12:15:16:16:11:0:12:4:9:12:9:14:3:0:10:0:17:17:14:16:13:14:15:16:17:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:18:16:16:1:18:20:19:18:19:0:20:14:20:20:18:19:13:7:10:15:21:12:14:21:21:21:8:10:15:15:20:23:25:17:25:8:22:4:23:17:25:12:21:24:16:18:18:19:19:24:20:13:21:24:10:15:0:23:15:10:18:25:24:23:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:22:19:8:24:16:20:26:26:25:22:16:9:9:16:26:27:26:22:26:13:25:27:21:27:27:23:12:28:22:28:13:15:25:23:28:27:28:27:23:1:28
