#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 16:58:56,wvcp,DSJC125.1gb,local_search,4,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,9,0,124,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:2:2:1:3:3:4:3:4:3:2:0:3:4:0:3:1:1:1:3:4:1:1:0:4:5:5:5:5:4:2:3:5:2:3:0:0:4:4:5:2:4:5:4:6:6:4:4:1:0:1:3:6:2:2:0:6:1:6:4:5:2:5:6:5:1:6:3:3:5:6:4:7:3:7:6:1:5:7:7:5:1:7:4:3:3:6:6:0:0:2:3:7:7:6:6:4:2:2:7:8:7:8:4:6:8:0
18,0,7,0,114,0:0:0:0:1:1:1:0:2:3:1:2:1:0:3:3:2:5:1:2:2:1:3:3:2:2:1:3:0:0:3:2:0:3:1:4:1:2:3:0:4:4:2:4:4:3:2:0:0:0:1:2:4:0:0:1:3:3:3:1:4:0:4:0:2:1:1:4:1:0:1:2:0:3:3:3:3:2:2:1:3:3:4:4:4:3:4:4:4:2:6:3:2:6:4:6:0:6:0:4:2:6:3:3:6:6:3:0:1:0:6:6:6:0:1:1:2:6:4:6:1:6:3:0:4
19,0,7,0,113,0:0:0:0:1:1:1:0:2:3:1:1:2:0:3:3:2:5:3:2:2:1:3:5:5:5:1:5:1:2:1:2:1:3:5:5:3:2:5:0:0:1:3:4:0:3:3:0:0:1:4:5:4:1:2:1:5:4:3:3:4:0:0:0:3:5:1:4:1:0:4:0:2:5:2:2:3:5:2:1:4:4:4:0:4:0:4:4:4:2:1:5:6:5:6:3:6:6:0:0:3:3:4:2:5:3:4:5:0:0:2:5:4:3:3:4:4:0:6:1:6:0:2:3:5
20,0,7,0,112,0:0:0:0:1:1:1:1:2:3:1:1:3:0:3:0:3:5:3:2:3:5:3:2:2:5:1:5:0:0:1:0:0:3:0:5:2:0:0:2:0:0:1:4:0:3:3:2:5:1:4:5:2:5:2:1:2:4:5:3:2:0:0:4:2:2:1:5:4:5:1:3:2:5:2:5:3:5:1:1:4:4:3:1:0:3:4:3:2:0:1:5:1:1:5:1:4:4:6:6:5:6:0:2:5:3:3:5:0:6:6:4:6:3:1:4:6:4:6:4:1:0:2:6:6
21,0,7,0,111,0:0:0:0:1:1:1:1:2:3:1:1:3:0:3:0:3:5:3:2:3:5:3:2:2:5:1:5:0:0:1:0:0:3:0:5:2:0:0:2:1:0:1:4:0:3:3:2:5:1:4:5:2:5:2:1:2:4:5:3:2:0:0:4:2:2:1:5:4:5:1:3:2:5:2:5:3:5:2:1:4:4:3:1:2:3:4:3:2:0:1:5:1:1:5:1:4:4:4:5:5:6:6:2:5:3:3:6:0:0:5:4:6:3:1:6:6:4:6:4:1:0:2:6:6
22,0,7,0,108,0:0:0:0:1:1:1:1:2:3:1:1:3:0:3:0:3:5:3:2:2:1:0:3:3:0:1:5:0:2:1:0:1:5:0:5:1:0:3:2:1:0:5:3:0:3:3:2:5:0:3:2:2:1:2:1:5:5:5:2:2:0:0:4:3:0:1:5:4:5:1:4:3:0:2:5:5:5:4:3:4:4:5:4:4:3:3:2:2:2:1:5:4:1:4:4:4:4:2:5:6:6:0:0:5:3:3:5:1:1:6:6:3:5:6:6:6:6:2:3:4:3:6:3:2
23,0,8,0,107,0:0:0:0:1:1:1:1:2:0:1:1:2:0:3:3:2:5:3:2:2:1:0:2:2:0:1:5:3:2:2:2:1:1:1:5:1:0:3:3:1:1:0:3:3:3:3:2:5:3:3:2:0:1:2:1:2:3:3:1:2:0:5:5:3:5:1:3:1:0:5:5:5:2:2:0:5:3:2:1:0:0:1:0:2:0:5:0:6:6:1:0:4:4:1:5:4:4:6:5:5:5:4:2:4:3:3:4:5:3:4:4:6:6:1:6:8:4:8:8:8:4:4:6:6
24,0,7,0,106,0:0:0:0:1:1:1:1:2:0:1:1:2:0:3:0:2:5:3:2:2:1:0:2:2:0:1:5:3:2:2:2:1:1:1:5:1:0:3:3:1:1:0:3:3:3:2:2:3:5:3:2:0:5:2:1:2:3:2:2:2:0:5:5:3:5:1:3:1:0:5:5:5:5:2:0:5:3:0:3:0:0:1:0:2:0:3:5:6:6:1:0:4:4:1:5:6:4:6:4:5:5:3:0:4:3:3:4:4:6:6:4:3:6:0:6:6:4:2:6:5:4:6:6:6
25,0,9,0,104,0:0:0:0:1:1:1:0:2:0:5:5:1:0:1:0:5:5:1:2:5:1:0:5:1:2:1:5:3:3:2:2:0:5:0:5:1:0:3:0:3:5:2:3:3:3:2:2:5:0:3:2:5:1:2:1:2:5:0:2:3:0:5:0:3:2:1:3:5:0:5:5:5:5:3:2:5:3:1:1:3:0:6:6:5:0:6:1:6:6:1:6:6:1:5:2:6:6:2:1:0:2:6:5:4:4:4:2:1:6:6:4:0:0:4:1:8:8:9:8:9:9:9:9:8
26,0,8,0,103,0:0:0:0:1:1:1:0:2:0:5:5:1:0:1:0:2:5:1:2:5:1:0:5:1:2:1:5:3:3:5:2:0:5:0:5:1:0:3:3:0:5:2:3:3:3:2:2:2:0:3:2:5:1:2:1:2:5:3:2:3:0:0:0:3:2:1:3:5:0:5:5:1:0:3:2:5:3:1:2:3:0:6:6:5:6:6:1:6:6:1:6:6:1:5:2:6:6:3:1:1:2:6:2:4:4:4:2:4:6:6:4:0:0:4:1:9:5:2:9:9:4:4:9:9
